API Well Number,County,Company Name,API Hole Number,Sidetrack Code,Completion Code,Well Type Code,Production Field,Well Status Code,Well Name,Town,Producing Formation,Months in Production,"Gas Produced, Mcf","Water Produced, bbl","Oil Produced, bbl",Reporting Year,New Georeferenced Column
31003085790000,Allegany,"Sandstone Oil & Gas Development, LLC",08579,00,00,OD,Richburg,AC,Slade Lot 29 G-23,Genesee,Richburg,8,0,17,11,2018,"Genesee, NY (42.02693, -78.205893)"
31003086090000,Allegany,"Sandstone Oil & Gas Development, LLC",08609,00,00,OD,Richburg,AC,Slade Lot 29 E-34,Genesee,Richburg,8,0,17,11,2018,"Genesee, NY (42.02693, -78.205893)"
31003089130000,Allegany,Klein Oil & Logging,08913,00,00,OW,Richburg,AC,2-53/54 Kv,Alma,Richburg,12,1,1,5,2018,"Alma, NY (42.012207, -78.060759)"
31003091070000,Allegany,Klein Oil & Logging,09107,00,00,OD,Beech Hill-Independence,AC,Austin 40-6,Independence,Fulmer Valley,12,1,10,66,2018,"Independence, NY (42.088045, -77.781386)"
31003092290000,Allegany,Richardson Petroleum Corp.,09229,00,00,OD,Beech Hill-Independence,AC,Quintette-Stillman 9,Independence,Fulmer Valley,12,236,3,23,2018,"Independence, NY (42.088045, -77.781386)"
31003094340000,Allegany,"Sandstone Oil & Gas Development, LLC",09434,00,00,OD,Richburg,AC,Slade Lot 29 E-23,Genesee,Richburg,8,0,17,11,2018,"Genesee, NY (42.02693, -78.205893)"
31003094600000,Allegany,Klein Oil & Logging,09460,00,00,OD,Richburg,AC,43 Black,Alma,Richburg,6,1,1,3,2018,"Alma, NY (42.012207, -78.060759)"
31003094700000,Allegany,Klein Oil & Logging,09470,00,00,OD,Beech Hill-Independence,AC,Austin-Bayard 33,Independence,Fulmer Valley,6,1,1,5,2018,"Independence, NY (42.088045, -77.781386)"
31003094920000,Allegany,"Simon of Bolivar Enterprises, Inc.",09492,00,00,OD,Richburg,AC,Wheeler 46 (P46),Bolivar,Richburg,12,0,20,2,2018,"Bolivar, NY (42.066701, -78.167667)"
31003095590000,Allegany,Klein Oil & Logging,09559,00,00,OD,Richburg,AC,44 Black,Alma,Richburg,6,1,1,3,2018,"Alma, NY (42.012207, -78.060759)"
31003095620000,Allegany,Klein Oil & Logging,09562,00,00,OD,Beech Hill-Independence,AC,Austin-Bayard 35,Independence,Fulmer Valley,6,1,1,5,2018,"Independence, NY (42.088045, -77.781386)"
31003095740000,Allegany,Klein Oil & Logging,09574,00,00,OW,Richburg,AC,4-53-68 Kv,Alma,Richburg,12,1,15,126,2018,"Alma, NY (42.012207, -78.060759)"
